s6-rc: info: service s6rc-oneshot-runner: starting
s6-rc: info: service s6rc-oneshot-runner successfully started
s6-rc: info: service fix-attrs: starting
s6-rc: info: service fix-attrs successfully started
s6-rc: info: service legacy-cont-init: starting
s6-rc: info: service legacy-cont-init successfully started
s6-rc: info: service legacy-services: starting
services-up: info: copying legacy longrun home-assistant (no readiness notification)
s6-rc: info: service legacy-services successfully started
2026-07-04 20:12:34.384 WARNING (SyncWorker_0) [annotatedyaml.constructors] YAML file /config/automations.yaml contains duplicate key "transicion_hvac_real". Check lines 3540 and 3681
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_delay_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_DELAY_TIME_REMAINING
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_delay_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_DELAY_TIME_REMAINING
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_combo_door_status entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_DOOR_STATUS
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_combo_door_status entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_DOOR_STATUS
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_remote_status entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_REMOTE_STATUS
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_remote_status entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_REMOTE_STATUS
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_combo_washer_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_WASHER_TIME_REMAINING
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_combo_washer_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_WASHER_TIME_REMAINING
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_combo_dryer_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_DRYER_TIME_REMAINING
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_combo_dryer_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_COMBO_DRYER_TIME_REMAINING
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_washer_prewash entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_WASHER_PREWASH
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_washer_prewash entity_id=None class=GeErdBinarySensor enabled=True added=False available=True erd_code=LAUNDRY_WASHER_PREWASH
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_washer_smart_dispense_loads_left entity_id=None class=GeErdPropertySensor enabled=True added=False available=True erd_code=LAUNDRY_WASHER_SMART_DISPENSE
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_washer_smart_dispense_loads_left entity_id=None class=GeErdPropertySensor enabled=True added=False available=True erd_code=LAUNDRY_WASHER_SMART_DISPENSE
2026-07-04 20:13:18.302 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_washer_smart_dispense_tank_status entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_WASHER_SMART_DISPENSE_TANK_STATUS
2026-07-04 20:13:18.302 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_washer_smart_dispense_tank_status entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_WASHER_SMART_DISPENSE_TANK_STATUS
2026-07-04 20:13:18.302 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_dryer_extended_tumble_option_selection entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_SELECTION
2026-07-04 20:13:18.302 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_dryer_extended_tumble_option_selection entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_SELECTION
